image_name                            , mp_rms   , hamer_rms
EK_0003_P01_107_frame_0000001155_l.jpg, None     ,  865.7426
EK_0003_P01_107_frame_0000001421_r.jpg, None     ,  389.9900
EK_0003_P01_107_frame_0000001501_r.jpg, None     ,  567.7571
EK_0003_P01_107_frame_0000002430_r.jpg, None     ,  540.6715
EK_0003_P01_107_frame_0000002806_l.jpg, None     ,  489.4018
EK_0003_P01_107_frame_0000002908_r.jpg, 15.8700  ,  520.8696
EK_0003_P01_107_frame_0000002926_l.jpg, None     ,  486.3122
EK_0003_P01_107_frame_0000003304_l.jpg, None     ,  525.7932
EK_0003_P01_107_frame_0000004784_l.jpg, None     ,  370.3734
EK_0003_P01_107_frame_0000004992_l.jpg, None     ,  277.1201
EK_0003_P01_107_frame_0000005201_r.jpg, None     ,  243.3186
EK_0003_P01_107_frame_0000005267_r.jpg, 36.5824  ,  469.4411
EK_0003_P01_107_frame_0000005328_l.jpg, 703.8774 ,  307.8238
EK_0003_P01_107_frame_0000005701_r.jpg, 18.3497  ,  530.2887
EK_0003_P01_107_frame_0000005851_r.jpg, None     ,  325.3328
EK_00084_P04_06_frame_0000000110_r.jpg, None     ,  411.3091
EK_00084_P04_06_frame_0000001214_r.jpg, None     ,  372.6495
EK_00084_P04_06_frame_0000001555_l.jpg, 337.7913 ,  472.3737
EK_00084_P04_06_frame_0000001896_r.jpg, None     ,  351.6483
EK_00084_P04_06_frame_0000003097_l.jpg, None     ,  572.2462
EK_00084_P04_06_frame_0000003296_l.jpg, 31.5851  ,  287.8119
EK_00084_P04_06_frame_0000003560_r.jpg, 591.0056 ,  539.6511
EK_00084_P04_06_frame_0000004126_l.jpg, 15.5173  ,  453.7928
EK_00084_P04_06_frame_0000004648_l.jpg, 19.9612  ,  429.2416
EK_00084_P04_06_frame_0000006190_r.jpg, 113.6429 ,  430.0632
EK_00084_P04_06_frame_0000009087_l.jpg, 26.0056  ,  423.8395
EK_00084_P04_06_frame_0000009310_r.jpg, 260.5933 ,  434.3707
EK_00084_P04_06_frame_0000010271_l.jpg, 20.8144  ,  422.0524
EK_00084_P04_06_frame_0000011826_r.jpg, 389.1995 ,  493.5819
EK_00084_P04_06_frame_0000012523_r.jpg, 374.1047 ,  328.7954
EK_00084_P04_06_frame_0000013049_l.jpg, 18.6465  ,  400.3805
EK_00084_P04_06_frame_0000014060_r.jpg, 1033.5123,  493.5178
EK_00084_P04_06_frame_0000015071_r.jpg, None     , 1074.2241
EK_00084_P04_06_frame_0000015302_r.jpg, None     ,  619.1049
EK_00084_P04_06_frame_0000017084_r.jpg, 43.1504  ,  433.0923
EK_00084_P04_06_frame_0000017448_r.jpg, None     ,  447.8008
EK_00084_P04_06_frame_0000018536_l.jpg, 25.7994  ,  427.0677
EK_00084_P04_06_frame_0000018827_l.jpg, None     ,  327.9728
EK_00084_P04_06_frame_0000019118_l.jpg, 126.1411 ,  583.0463
EK_00084_P04_06_frame_0000021119_r.jpg, 11.5315  ,  511.0893
EK_00084_P04_06_frame_0000022175_l.jpg, None     ,  296.6252
EK_00084_P04_06_frame_0000022296_r.jpg, 21.4094  ,  469.7808
EK_00084_P04_06_frame_0000022420_r.jpg, 25.6697  ,  662.7020
EK_00084_P04_06_frame_0000022482_r.jpg, None     ,  599.1285
EK_00084_P04_06_frame_0000023349_l.jpg, 11.1360  ,  339.4759
EK_00084_P04_06_frame_0000023674_l.jpg, 12.5668  ,  461.0779
EK_00084_P04_06_frame_0000023820_r.jpg, 17.1127  ,  593.8357
EK_00084_P04_06_frame_0000026043_r.jpg, 46.6421  ,  783.3199
EK_00084_P04_06_frame_0000026658_r.jpg, 699.6405 ,  470.2007
EK_00084_P04_06_frame_0000027166_l.jpg, 11.8070  ,  342.3277
EK_00084_P04_06_frame_0000032278_l.jpg, None     ,  328.7733
EK_00084_P04_06_frame_0000033123_l.jpg, 13.9610  ,  449.7066
EK_00084_P04_06_frame_0000033695_r.jpg, 27.8694  ,  414.7404
EK_00084_P04_06_frame_0000033884_r.jpg, None     ,  615.2062
EK_00084_P04_06_frame_0000034235_r.jpg, 11.3261  ,  424.1432
EK_00084_P04_06_frame_0000035679_r.jpg, 14.1310  ,  290.8787
EK_00084_P04_06_frame_0000040023_r.jpg, None     ,  409.0244
EK_00084_P04_06_frame_0000041953_r.jpg, 9.0608   ,  355.0243
EK_00084_P04_06_frame_0000042463_l.jpg, 46.1511  ,  500.4512
EK_00084_P04_06_frame_0000042714_r.jpg, 8.9499   ,  382.6358
EK_0016_P07_101_frame_0000000776_l.jpg, 561.5078 ,  379.4228
EK_0016_P07_101_frame_0000002469_r.jpg, 379.1183 ,  336.3318
EK_0016_P07_101_frame_0000003151_l.jpg, 71.1184  ,  289.2058
EK_0016_P07_101_frame_0000003348_r.jpg, None     ,  446.1482
EK_0016_P07_101_frame_0000004586_l.jpg, 12.2972  ,  497.9262
EK_0016_P07_101_frame_0000005268_l.jpg, None     ,  543.3024
EK_0016_P07_101_frame_0000005488_l.jpg, 10.4601  ,  462.2884
EK_0016_P07_101_frame_0000006936_r.jpg, None     ,  387.5638
EK_0016_P07_101_frame_0000007678_r.jpg, 21.2350  ,  533.6361
EK_0016_P07_101_frame_0000008786_l.jpg, 502.0743 ,  602.3532
EK_0016_P07_101_frame_0000009901_l.jpg, 214.0097 ,  416.2089
EK_0016_P07_101_frame_0000011086_r.jpg, 16.8334  ,  382.7685
EK_0016_P07_101_frame_0000011142_l.jpg, None     ,  516.8953
EK_0016_P07_101_frame_0000011276_l.jpg, 8.7730   ,  311.4395
EK_0016_P07_101_frame_0000011621_r.jpg, 16.3968  ,  377.7340
EK_0016_P07_101_frame_0000012176_r.jpg, 10.7364  ,  484.0636
EK_0016_P07_101_frame_0000012329_l.jpg, 314.5495 ,  406.6935
EK_0016_P07_101_frame_0000012621_l.jpg, 201.1819 ,  483.9597
EK_0016_P07_101_frame_0000013513_l.jpg, 13.2584  ,  414.3830
EK_0016_P07_101_frame_0000015562_r.jpg, 313.8472 ,  332.3232
EK_0016_P07_101_frame_0000016025_r.jpg, 116.0268 ,  394.8177
EK_0016_P07_101_frame_0000016611_l.jpg, 64.9204  , 1261.9332
EK_0016_P07_101_frame_0000016734_l.jpg, 694.1047 ,  249.7489
EK_0016_P07_101_frame_0000016778_r.jpg, 45.9954  ,  404.6690
EK_0016_P07_101_frame_0000016822_l.jpg, 13.1318  ,  356.5441
EK_0016_P07_101_frame_0000016850_l.jpg, 18.1052  ,  356.0401
EK_0016_P07_101_frame_0000018553_r.jpg, 36.3505  ,  286.0162
EK_0016_P07_101_frame_0000018586_l.jpg, 713.9137 ,  431.7509
EK_0016_P07_101_frame_0000018893_l.jpg, None     ,  511.1053
EK_0016_P07_101_frame_0000019226_r.jpg, 186.4882 ,  307.0400
EK_0016_P07_101_frame_0000020234_r.jpg, None     ,  360.1211
EK_0016_P07_101_frame_0000021876_l.jpg, 99.9011  ,  447.3982
EK_0016_P07_101_frame_0000022418_l.jpg, 15.5481  ,  540.0663
EK_0016_P07_101_frame_0000022786_l.jpg, None     ,  354.1427
EK_0017_P07_103_frame_0000000825_l.jpg, None     ,  286.7010
EK_0017_P07_103_frame_0000001163_l.jpg, None     ,  290.1683
EK_0017_P07_103_frame_0000001480_l.jpg, None     ,  393.5918
EK_0018_P07_110_frame_0000000565_r.jpg, None     ,  355.0412
EK_0018_P07_110_frame_0000000743_r.jpg, 15.2645  ,  395.2201
EK_0018_P07_110_frame_0000002076_r.jpg, 14.6556  ,  589.3360
EK_0018_P07_110_frame_0000003176_l.jpg, 297.7605 ,  502.7316
EK_0018_P07_110_frame_0000003476_l.jpg, None     ,  612.8980
EK_0018_P07_110_frame_0000003521_l.jpg, 610.2162 ,  725.4170
EK_0018_P07_110_frame_0000003675_r.jpg, 769.2813 ,  639.9778
EK_0018_P07_110_frame_0000005630_l.jpg, None     ,  423.4715
