image_name                            , mediapipe_kp0, mediapipe_kp1, mediapipe_kp2, mediapipe_kp3, mediapipe_kp4, mediapipe_kp5, mediapipe_kp6, mediapipe_kp7, mediapipe_kp8, mediapipe_kp9, mediapipe_kp10, mediapipe_kp11, mediapipe_kp12, mediapipe_kp13, mediapipe_kp14, mediapipe_kp15, mediapipe_kp16, mediapipe_kp17, mediapipe_kp18, mediapipe_kp19, mediapipe_kp20, hamer_kp0, hamer_kp1, hamer_kp2, hamer_kp3, hamer_kp4, hamer_kp5, hamer_kp6, hamer_kp7, hamer_kp8, hamer_kp9, hamer_kp10, hamer_kp11, hamer_kp12, hamer_kp13, hamer_kp14, hamer_kp15, hamer_kp16, hamer_kp17, hamer_kp18, hamer_kp19, hamer_kp20
EK_0003_P01_107_frame_0000001155_l.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.8602,    0.8729,    0.8840,    0.9013,    0.9205,    0.8463,    0.8256,    0.8375,    0.8709,    0.8344,     0.8140,     0.8407,     0.8654,     0.8422,     0.8423,     0.8582,     0.8774,     0.8556,     0.8620,     0.8711,     0.8840
EK_0003_P01_107_frame_0000001421_r.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.3564,    0.3218,    0.2883,    0.2628,    0.2415,    0.2936,    0.2668,    0.2516,    0.2344,    0.3077,     0.2735,     0.2562,     0.2376,     0.3131,     0.2790,     0.2647,     0.2487,     0.3123,     0.2891,     0.2750,     0.2555
EK_0003_P01_107_frame_0000001501_r.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.4648,    0.4272,    0.3975,    0.3681,    0.3417,    0.3935,    0.3535,    0.3310,    0.3132,    0.4055,     0.3650,     0.3429,     0.3285,     0.4134,     0.3835,     0.3668,     0.3527,     0.4171,     0.3997,     0.3856,     0.3774
EK_0003_P01_107_frame_0000002430_r.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.4245,    0.3758,    0.3604,    0.3442,    0.3321,    0.3412,    0.3233,    0.3317,    0.3472,    0.3462,     0.3199,     0.3324,     0.3476,     0.3576,     0.3294,     0.3384,     0.3493,     0.3662,     0.3543,     0.3489,     0.3565
EK_0003_P01_107_frame_0000002806_l.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.5102,    0.4820,    0.4710,    0.4677,    0.4562,    0.4151,    0.3647,    0.3610,    0.3715,    0.4136,     0.3618,     0.3609,     0.3752,     0.4166,     0.3735,     0.3714,     0.3864,     0.4163,     0.3897,     0.3855,     0.3949
EK_0003_P01_107_frame_0000002908_r.jpg, 0.0353       , 0.0181       , 0.0050       , 0.0056       , 0.0027       , 0.0101       , 0.0041       , 0.0047       , 0.0050       , 0.0088       , 0.0081        , 0.0019        , 0.0069        , 0.0026        , 0.0043        , 0.0074        , 0.0080        , 0.0068        , 0.0130        , 0.0109        , 0.0068        ,    0.4193,    0.3811,    0.3444,    0.3187,    0.2950,    0.3625,    0.3474,    0.3385,    0.3271,    0.3812,     0.3688,     0.3642,     0.3611,     0.3895,     0.3850,     0.3803,     0.3736,     0.4004,     0.3977,     0.3878,     0.3781
EK_0003_P01_107_frame_0000002926_l.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.5421,    0.5132,    0.5019,    0.4941,    0.4932,    0.4378,    0.4076,    0.4140,    0.4299,    0.4220,     0.3877,     0.3956,     0.4157,     0.4266,     0.3932,     0.3973,     0.4125,     0.4283,     0.4165,     0.4204,     0.4317
EK_0003_P01_107_frame_0000003304_l.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.4735,    0.4606,    0.4576,    0.4525,    0.4608,    0.4050,    0.4465,    0.4714,    0.4867,    0.4120,     0.4524,     0.4756,     0.4784,     0.4237,     0.4543,     0.4707,     0.4764,     0.4356,     0.4535,     0.4682,     0.4834
EK_0003_P01_107_frame_0000004784_l.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.3632,    0.3509,    0.3329,    0.3151,    0.3043,    0.2953,    0.2686,    0.2511,    0.2359,    0.2985,     0.2890,     0.3013,     0.3139,     0.3127,     0.3008,     0.3015,     0.3136,     0.3192,     0.3101,     0.3149,     0.3245
EK_0003_P01_107_frame_0000004992_l.jpg, None         , None         , None         , None         , None         , None         , None         , None         , None         , None         , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          , None          ,    0.2823,    0.2773,    0.2689,    0.2576,    0.2582,    0.2191,    0.2034,    0.2007,    0.1994,    0.2124,     0.2026,     0.2014,     0.2105,     0.2310,     0.2205,     0.2190,     0.2319,     0.2445,     0.2376,     0.2389,     0.2486
