image_name,hand_idx,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y
EK_0003_P01_107_frame_0000002908_r.jpg,0,1126.36,906.53,1070.23,861.09,1050.55,804.68,1036.05,755.51,1025.21,715.66,1146.66,770.50,1181.02,696.69,1176.64,658.69,1167.33,635.53,1187.87,791.68,1232.17,717.75,1236.93,678.61,1233.37,652.81,1210.01,816.27,1242.42,753.65,1244.72,715.74,1240.44,692.23,1215.98,838.42,1232.68,792.31,1227.61,763.18,1219.83,747.62
EK_0003_P01_107_frame_0000005267_r.jpg,0,1309.81,407.86,1241.61,396.00,1194.72,357.39,1157.93,337.66,1138.42,338.45,1215.55,260.93,1155.24,268.17,1145.68,300.39,1155.83,325.28,1257.55,251.59,1196.91,269.97,1185.33,305.52,1189.44,330.33,1290.81,262.99,1235.19,278.36,1220.61,305.79,1225.63,331.06,1311.89,281.78,1262.46,292.92,1248.40,312.68,1249.78,333.35
EK_0003_P01_107_frame_0000005328_l.jpg,0,1276.06,478.22,1216.60,491.90,1176.56,488.82,1150.88,498.06,1129.57,514.13,1172.73,401.50,1152.95,369.15,1144.62,353.04,1138.80,343.01,1209.69,379.15,1208.85,370.87,1215.17,385.97,1223.19,401.72,1248.14,376.28,1249.76,371.38,1255.43,385.60,1260.92,400.62,1281.65,383.18,1285.05,380.12,1288.46,392.68,1292.61,406.88
EK_0003_P01_107_frame_0000005701_r.jpg,0,1114.42,794.56,1039.79,832.79,968.11,831.28,902.26,825.57,856.86,836.73,933.96,728.56,859.44,750.00,868.13,778.41,886.02,788.59,950.81,683.59,873.49,704.70,883.21,738.12,904.19,750.62,976.41,660.34,902.09,664.48,901.47,692.74,921.47,710.25,1001.68,653.03,947.22,648.63,938.53,667.27,948.98,680.68
EK_0003_P01_107_frame_0000005701_r.jpg,1,657.13,1019.84,733.50,997.56,782.70,921.92,820.14,859.43,844.67,817.20,719.67,836.90,792.14,775.57,838.93,787.10,863.24,805.68,679.96,822.51,743.40,744.54,779.57,767.82,792.45,797.38,659.83,827.91,717.36,770.33,752.44,788.99,767.83,810.30,656.44,844.11,699.66,798.92,730.43,806.68,748.05,821.63
EK_00084_P04_06_frame_0000001555_l.jpg,0,1193.21,870.82,1127.75,860.78,1096.35,815.23,1082.25,769.29,1064.51,740.84,1108.59,761.55,1099.52,698.20,1104.85,685.54,1112.13,687.31,1147.90,751.04,1132.61,690.48,1128.20,689.55,1128.32,699.35,1183.16,753.76,1164.38,716.53,1152.73,727.14,1150.83,741.77,1213.38,763.05,1190.53,743.99,1178.44,750.25,1177.42,763.90
EK_00084_P04_06_frame_0000003296_l.jpg,0,677.25,897.36,662.83,824.53,665.24,789.72,685.57,777.88,697.98,764.93,667.08,812.98,672.96,791.06,680.66,783.75,688.85,778.88,681.51,839.63,677.47,822.88,672.61,818.35,671.96,823.41,692.06,864.89,689.25,850.50,685.26,846.90,688.03,841.74,701.51,887.14,702.42,877.15,700.65,874.52,700.91,876.56
EK_00084_P04_06_frame_0000003560_r.jpg,0,1026.40,1045.11,1069.90,974.60,1096.15,930.64,1110.78,898.04,1120.45,871.27,1048.84,904.51,1072.46,886.41,1096.97,884.51,1112.21,889.45,1052.29,933.63,1095.78,919.75,1128.59,931.48,1145.10,950.36,1059.95,961.82,1105.00,956.20,1133.02,966.09,1144.83,982.10,1067.73,986.73,1101.92,987.10,1121.32,991.75,1132.10,1000.25
EK_00084_P04_06_frame_0000004126_l.jpg,0,975.95,988.48,1046.00,936.91,1076.64,863.24,1108.69,811.33,1148.18,784.25,963.38,807.25,1012.07,726.56,1050.67,692.89,1078.73,671.87,927.16,809.42,964.72,718.66,1011.69,692.84,1046.50,683.48,911.64,821.26,935.58,743.05,974.48,719.76,1005.86,711.51,910.05,831.38,925.11,772.51,949.05,748.88,972.56,737.89
EK_00084_P04_06_frame_0000004126_l.jpg,1,1508.55,895.91,1434.97,838.54,1373.90,774.81,1322.60,727.28,1283.21,690.80,1445.76,690.24,1364.26,658.16,1311.38,676.79,1278.07,703.26,1447.70,714.00,1358.90,708.68,1324.37,758.50,1314.92,804.86,1442.57,744.02,1366.96,737.86,1341.01,785.11,1339.32,828.78,1438.72,767.46,1384.33,773.85,1361.76,801.47,1358.16,825.34
